User 5411: [1847, 386, 20, 1807, 2275, 1178, 2630, 1539, 587, 1583]
User 5439: [3111, 3131, 3055, 74, 71, 3060, 83, 1802, 2998, 2991]
User 367: [619, 1583, 1765, 3876, 669, 3374, 289, 50, 1451, 587]
User 424: [1579, 2378, 2375, 1596, 3230, 1387, 3186, 2789, 2616, 319]
User 4941: [1178, 1807, 3087, 1539, 2630, 386, 20, 1847, 2603, 3689]
User 4667: [1505, 1113, 1111, 1550, 2847, 838, 1848, 171, 2459, 325]
User 2906: [2630, 2399, 20, 386, 1847, 69, 1602, 3158, 1197, 1539]
User 2375: [35, 39, 42, 52, 3881, 3880, 3879, 3844, 54, 1520]
User 3823: [386, 20, 1847, 1849, 1933, 3197, 1932, 1445, 1931, 3115]
User 5604: [2174, 347, 2557, 10, 492, 3192, 1819, 3039, 1826, 2520]
User 4413: [37, 3873, 64, 3859, 3851, 3852, 3854, 3878, 51, 3855]
User 5708: [1111, 1848, 1550, 1505, 838, 2847, 1113, 1335, 1671, 2572]
User 5811: [3462, 2102, 1826, 2174, 10, 492, 193, 1819, 3039, 1224]
User 284: [35, 39, 3844, 52, 3881, 3880, 3879, 3845, 3846, 29]
User 5490: [1602, 3158, 20, 386, 1847, 2557, 2520, 1996, 3462, 3238]
User 823: [3268, 2615, 533, 3709, 131, 3294, 3551, 853, 1387, 2087]
User 348: [20, 386, 1847, 3876, 1765, 289, 50, 3374, 1451, 1583]
User 816: [2630, 1539, 1197, 69, 2399, 1972, 2651, 2810, 548, 2666]
User 3227: [2275, 1458, 50, 669, 1583, 1765, 587, 3374, 1451, 3876]
User 4625: [1847, 20, 386, 1602, 3158, 1849, 1445, 3197, 1932, 1933]
User 5804: [1847, 20, 386, 3515, 3188, 355, 2102, 1752, 1224, 347]
User 4731: [2630, 1807, 2275, 69, 1197, 838, 1113, 2847, 1111, 1848]
User 1799: [386, 1847, 20, 1932, 1445, 1849, 1931, 1933, 3115, 3197]
User 3162: [386, 1847, 20, 1224, 3238, 3274, 1752, 1996, 492, 1503]
User 1421: [386, 1847, 20, 3874, 3, 367, 1374, 2213, 1371, 2305]
User 5171: [1899, 83, 71, 74, 1889, 3, 3874, 2976, 3431, 446]
User 2891: [1539, 2336, 376, 2337, 1179, 1178, 1192, 680, 2654, 2666]
User 5165: [2966, 934, 3379, 512, 2133, 159, 1458, 3158, 1602, 3074]
User 57: [20, 386, 1847, 1807, 1539, 1178, 2630, 1197, 3087, 3197]
User 410: [1996, 1193, 492, 2193, 2076, 193, 2487, 1224, 1156, 2520]
User 3271: [1847, 20, 386, 1931, 1445, 1933, 3197, 1932, 1849, 3115]
User 2420: [1807, 2461, 1813, 3633, 2460, 3757, 2462, 2463, 2464, 500]
User 1974: [1600, 37, 3873, 62, 64, 51, 3859, 3851, 3878, 3812]
User 1965: [1884, 2471, 459, 2695, 147, 1209, 1577, 604, 256, 21]
User 5784: [3188, 3515, 50, 619, 669, 587, 3374, 1451, 289, 1583]
User 3414: [20, 386, 1847, 3462, 1224, 355, 10, 1503, 2357, 2179]
User 1787: [1602, 346, 3158, 3107, 1742, 1637, 1628, 3340, 871, 3351]
User 4051: [1807, 3188, 3515, 587, 1583, 289, 3374, 669, 619, 1451]
User 4886: [83, 74, 3842, 3831, 3830, 1217, 3874, 2845, 44, 2735]
User 3877: [20, 386, 1847, 1931, 1933, 1932, 3197, 3115, 1849, 1445]
User 2816: [1807, 2630, 2275, 3374, 619, 1583, 289, 587, 50, 669]
User 5808: [3087, 386, 20, 1847, 44, 2892, 761, 2789, 3725, 743]
User 287: [1111, 1113, 1505, 2847, 1550, 838, 1848, 1335, 2206, 2573]
User 926: [1416, 3547, 2197, 3175, 1426, 2188, 2190, 413, 794, 1785]
User 4508: [386, 1847, 20, 3115, 3197, 1445, 1932, 1931, 1849, 1933]
User 1459: [1178, 1539, 1370, 1192, 2253, 1630, 2630, 1807, 680, 838]
User 4822: [44, 3874, 3, 2760, 2780, 2792, 2789, 853, 2735, 927]
User 1258: [1807, 1178, 1197, 3087, 2603, 3689, 1607, 2219, 1196, 1300]
User 5370: [1259, 3338, 3355, 3341, 2255, 3382, 2220, 1899, 2213, 341]
User 1201: [20, 386, 1847, 3115, 1445, 3197, 1932, 1931, 1849, 1933]
User 1004: [1847, 386, 20, 1849, 1933, 3115, 1932, 1931, 1445, 3197]
User 5518: [20, 1847, 386, 3087, 1239, 1539, 1197, 3115, 1445, 1849]
User 2856: [1807, 3876, 50, 3374, 619, 587, 1765, 1583, 669, 289]
User 3935: [1819, 2102, 1752, 2174, 2179, 2193, 2357, 1503, 193, 2437]
User 4587: [221, 3039, 2557, 10, 492, 3616, 1193, 2102, 1224, 2076]
User 2946: [232, 3497, 229, 216, 3522, 3500, 2789, 1596, 3709, 203]
User 3593: [2630, 1807, 2275, 1539, 386, 1847, 20, 1505, 1848, 1113]
User 5446: [3274, 2076, 1193, 221, 355, 880, 1752, 3238, 2557, 3462]
User 4867: [2630, 1807, 1197, 170, 1533, 3458, 1763, 283, 1024, 3628]
User 4383: [1847, 386, 20, 1602, 3158, 972, 446, 2170, 2176, 1835]
User 3188: [2399, 2630, 386, 20, 1847, 376, 1179, 2336, 2337, 1539]
User 4176: [69, 1197, 1807, 2630, 2219, 1196, 1300, 2275, 2548, 1241]
User 5754: [570, 2220, 2221, 2857, 1674, 229, 2213, 927, 1130, 3497]
User 3806: [1196, 2219, 1300, 1197, 69, 2548, 2757, 1241, 2630, 1644]
User 5995: [386, 20, 1847, 2399, 1602, 3158, 2193, 2179, 2174, 2487]
User 888: [1503, 1193, 2628, 3462, 1826, 2520, 1156, 2174, 3238, 827]
User 3918: [20, 1847, 386, 3197, 1849, 3115, 1445, 1933, 1931, 1932]
User 3604: [1884, 2471, 1933, 1932, 1445, 3115, 3197, 1931, 1849, 41]
User 1957: [3158, 1602, 386, 1847, 20, 1503, 2606, 3238, 2628, 3274]
User 708: [2079, 1409, 3716, 2537, 1235, 2711, 2724, 1221, 2094, 3708]
User 868: [1847, 386, 20, 1224, 3192, 347, 880, 1193, 2102, 1819]
User 1120: [1602, 3158, 2606, 1996, 193, 880, 355, 492, 2179, 2487]
User 5457: [386, 20, 1847, 3497, 836, 1298, 3551, 558, 3496, 2976]
User 5701: [42, 35, 52, 54, 3881, 3880, 3879, 3844, 3845, 3846]
User 671: [1458, 3585, 1214, 1545, 3574, 1222, 1204, 2993, 108, 1959]
User 2664: [20, 1847, 386, 2630, 1807, 1539, 1197, 1932, 3115, 3197]
User 1178: [2630, 1539, 1370, 1197, 1807, 1847, 386, 20, 838, 1848]
User 3821: [1847, 20, 386, 3115, 3197, 1931, 1933, 1932, 1445, 1849]
User 4387: [20, 1847, 386, 2275, 1583, 3876, 50, 3374, 1765, 587]
User 981: [1752, 1819, 2179, 3238, 1503, 827, 355, 347, 2076, 2102]
User 98: [761, 3338, 3341, 755, 3355, 743, 836, 1587, 784, 3437]
User 3984: [10, 2437, 3192, 2628, 827, 492, 2606, 2557, 2520, 3039]
User 1390: [1752, 193, 827, 3039, 2174, 2520, 2628, 3462, 1996, 2606]
User 1539: [1602, 3158, 20, 386, 1847, 3087, 1807, 2520, 347, 1819]
User 6001: [934, 3379, 2966, 512, 2283, 131, 761, 2305, 2760, 1223]
User 3994: [1807, 1848, 1111, 2847, 1113, 838, 1505, 1550, 3628, 1024]
User 1284: [1387, 897, 1374, 2087, 1371, 2615, 3522, 3493, 2616, 3500]
User 1338: [386, 20, 1847, 2399, 1849, 1445, 1933, 1932, 3115, 3197]
User 2343: [2630, 1539, 1197, 3348, 3001, 3106, 1370, 431, 3257, 1942]
User 831: [3873, 3859, 3851, 1595, 1544, 1540, 1600, 1594, 1633, 1631]
User 3043: [20, 1847, 386, 2399, 3158, 1602, 2630, 2275, 3515, 3188]
User 370: [1751, 3111, 3830, 3874, 1734, 3831, 3813, 3827, 1816, 1815]
User 4414: [1178, 2253, 1370, 1807, 1458, 1630, 2993, 461, 3559, 3684]
User 3388: [2275, 1807, 386, 20, 1847, 1178, 1765, 587, 619, 1451]
User 5794: [3, 44, 2735, 2780, 2845, 2792, 2789, 643, 651, 2696]
User 2444: [1113, 1111, 2847, 1505, 1848, 1550, 838, 3373, 3809, 70]
User 5212: [20, 1847, 386, 1445, 1849, 3115, 3197, 1931, 1932, 1933]
User 2985: [2305, 643, 533, 232, 2255, 203, 216, 3093, 2892, 2976]
User 4386: [2606, 2557, 2437, 3238, 193, 355, 10, 880, 2357, 347]
User 3179: [3709, 232, 3522, 229, 1835, 216, 3186, 761, 3014, 1298]
User 5432: [1807, 386, 20, 1847, 1602, 3158, 619, 289, 669, 1451]
User 3591: [2179, 2193, 2174, 492, 3238, 2357, 1752, 2102, 3274, 2628]
User 3143: [1807, 50, 3876, 3374, 1583, 619, 669, 1765, 289, 587]
User 5226: [1848, 1505, 838, 2847, 1550, 1113, 1111, 170, 2531, 1024]
User 5101: [1847, 386, 20, 1445, 1933, 1931, 1849, 1932, 3197, 3115]
User 1316: [20, 386, 1847, 131, 44, 3186, 3230, 3842, 3813, 3239]
User 737: [2455, 1729, 1717, 1764, 3245, 3038, 3336, 2824, 2823, 3096]
User 2918: [1539, 1671, 476, 171, 3794, 3629, 1350, 2571, 2206, 1335]
User 3358: [1602, 3158, 2892, 3186, 341, 643, 3312, 1726, 2508, 2735]
User 5642: [3192, 2520, 1996, 2628, 2076, 221, 193, 2357, 1752, 2179]
User 3975: [3813, 2845, 2760, 2780, 2735, 1674, 3747, 3842, 1695, 3831]
