User 0: [3342, 1144, 1581, 3093, 2911, 2738, 1528, 1347, 3513, 1829]
User 1: [240, 2526, 2397, 1536, 829, 833, 241, 284, 650, 3403]
User 2: [3157, 2535, 708, 3792, 555, 1747, 697, 3834, 3341, 989]
User 3: [1059, 1970, 2263, 2795, 2523, 2239, 397, 3015, 3461, 2273]
User 4: [1494, 3168, 1728, 2752, 3280, 2626, 1994, 1117, 2187, 2357]
User 5: [783, 3163, 1618, 1611, 113, 633, 111, 1821, 3868, 646]
User 6: [3800, 814, 125, 1142, 1625, 3513, 739, 1418, 608, 3610]
User 7: [3365, 74, 620, 690, 761, 1044, 2151, 1440, 3151, 3461]
User 8: [802, 1117, 681, 3391, 628, 3097, 2089, 3115, 2372, 962]
User 9: [1343, 3158, 2895, 3176, 2523, 1013, 1639, 2716, 619, 1803]
User 10: [3582, 718, 1676, 2223, 55, 2166, 3419, 3786, 1782, 1738]
User 11: [2781, 746, 3627, 3312, 3208, 2240, 1509, 36, 2089, 3870]
User 12: [988, 2795, 1629, 750, 3312, 3208, 135, 3610, 1658, 2554]
User 13: [649, 811, 1296, 2434, 1044, 3417, 1295, 2369, 2864, 2786]
User 14: [1106, 675, 1400, 2673, 678, 2155, 3396, 619, 1452, 2714]
User 15: [1117, 3279, 2987, 140, 3004, 1479, 78, 2605, 2152, 281]
User 16: [3389, 1488, 689, 2862, 811, 2581, 2365, 815, 3561, 282]
User 17: [692, 1762, 3464, 3747, 1051, 2130, 1764, 689, 2905, 809]
User 18: [1294, 1298, 2673, 2687, 722, 2636, 2680, 2612, 781, 660]
User 19: [621, 2155, 2152, 2979, 1107, 597, 706, 200, 654, 3542]
User 20: [3504, 3080, 797, 2990, 1057, 3811, 597, 1429, 2673, 3471]
User 21: [736, 703, 619, 1774, 2611, 3344, 3160, 587, 3211, 381]
User 22: [3532, 3727, 1152, 877, 2995, 614, 971, 1778, 804, 806]
User 23: [2995, 813, 1744, 3103, 1516, 1750, 568, 3119, 117, 2671]
User 24: [1462, 2147, 1554, 1289, 332, 744, 556, 713, 3085, 2417]
User 25: [3513, 1802, 1774, 3070, 2626, 653, 1585, 1563, 1026, 3221]
User 26: [804, 1106, 619, 3160, 1666, 2158, 1334, 399, 1524, 248]
User 27: [1082, 2236, 1294, 2420, 1106, 1411, 675, 729, 2357, 2127]
User 28: [2865, 3703, 53, 613, 3168, 1476, 2132, 2682, 817, 3419]
User 29: [660, 382, 283, 435, 1544, 575, 853, 3405, 3775, 692]
User 30: [2235, 2958, 1540, 1675, 832, 1048, 3405, 2128, 3047, 802]
User 31: [3472, 3516, 2943, 1665, 2558, 1744, 575, 2138, 3746, 337]
User 32: [804, 3157, 133, 867, 962, 2952, 820, 3167, 2154, 280]
User 33: [1961, 3783, 729, 3157, 555, 150, 670, 3804, 1400, 1494]
User 34: [1669, 1027, 3523, 2988, 1013, 3097, 1756, 1831, 391, 676]
User 35: [761, 689, 564, 1839, 867, 2185, 2522, 754, 317, 972]
User 36: [2175, 48, 2925, 210, 3567, 2130, 1669, 2235, 3783, 619]
User 37: [113, 128, 2017, 692, 761, 1697, 2495, 2146, 365, 1712]
