User 0: [2888, 574, 3514, 1749, 1057, 3226, 1961, 2954, 814, 704]
User 1: [697, 3772, 1298, 1056, 2289, 1488, 1537, 3279, 2706, 704]
User 2: [3162, 3423, 3264, 1435, 812, 3147, 3649, 3225, 3252, 2826]
User 3: [2708, 1518, 3680, 2646, 1486, 2205, 833, 1124, 3581, 3221]
User 4: [806, 572, 2841, 883, 969, 1689, 3344, 1488, 782, 3162]
User 5: [832, 2164, 132, 2889, 806, 3284, 1121, 2145, 2254, 572]
User 6: [3243, 1518, 2708, 1298, 860, 390, 2276, 666, 3234, 3581]
User 7: [674, 2201, 396, 3772, 1125, 3054, 176, 3219, 2706, 3103]
User 8: [1125, 574, 2990, 3162, 396, 3506, 1518, 806, 307, 782]
User 9: [2147, 3284, 2841, 2889, 806, 1689, 1961, 2888, 3587, 3222]
User 10: [3772, 572, 2289, 2201, 1298, 3101, 806, 3279, 3054, 1347]
User 11: [697, 704, 1660, 848, 2147, 1592, 1961, 2191, 1298, 2742]
User 12: [806, 3772, 832, 3279, 3284, 679, 3552, 1538, 541, 1056]
User 13: [1435, 3147, 883, 1675, 1961, 2526, 3489, 1633, 3818, 753]
User 14: [1406, 307, 3162, 1124, 2238, 1056, 806, 1456, 3772, 3374]
User 15: [2841, 574, 2526, 3226, 2954, 1435, 1518, 2888, 3587, 1633]
User 16: [572, 806, 883, 969, 3162, 3344, 1961, 1488, 3489, 1099]
User 17: [806, 572, 3772, 307, 1488, 3103, 3279, 1689, 396, 804]
User 18: [1518, 2841, 1689, 396, 572, 2155, 806, 1298, 3162, 3284]
User 19: [878, 1961, 3489, 804, 3396, 3731, 977, 2954, 1488, 1057]
User 20: [1435, 50, 753, 2841, 3731, 2990, 2762, 1834, 3423, 3225]
User 21: [572, 806, 396, 804, 883, 2155, 1142, 1488, 2201, 3489]
User 22: [3103, 2706, 1650, 396, 1518, 1051, 1298, 2201, 2990, 3772]
User 23: [1124, 3772, 1518, 2708, 3162, 572, 1143, 307, 2201, 2173]
User 24: [574, 2238, 806, 787, 969, 2532, 3226, 1689, 1406, 848]
User 25: [806, 2841, 1689, 574, 1488, 969, 2888, 1518, 572, 2954]
User 26: [2841, 1518, 1689, 1435, 806, 574, 3254, 307, 190, 1150]
User 27: [1435, 1142, 3731, 1411, 2841, 2087, 883, 3152, 3103, 3016]
User 28: [2841, 3243, 1518, 3587, 2087, 572, 3413, 860, 1435, 2147]
User 29: [883, 572, 3147, 3243, 977, 1675, 3818, 1961, 1535, 3489]
User 30: [3772, 806, 1689, 3284, 3279, 1538, 1298, 572, 1518, 704]
User 31: [3581, 3772, 3284, 2742, 1538, 2138, 3680, 2769, 176, 1125]
User 32: [1298, 697, 1689, 704, 1961, 1488, 1497, 806, 2147, 2841]
User 33: [806, 1689, 1488, 572, 2841, 3103, 3772, 3284, 125, 1518]
User 34: [572, 2841, 3243, 806, 3587, 1689, 969, 1518, 2147, 860]
User 35: [806, 1689, 1488, 2841, 572, 1518, 804, 969, 125, 396]
User 36: [3284, 2205, 1425, 760, 782, 132, 2708, 574, 200, 1538]
User 37: [3772, 2742, 1298, 3284, 3581, 1518, 2201, 1488, 572, 2889]
User 38: [1518, 2191, 1406, 2841, 1409, 307, 1689, 190, 3254, 3417]
User 39: [1961, 1298, 2276, 3772, 3581, 1294, 2201, 390, 1124, 3417]
User 40: [2841, 3579, 499, 2147, 812, 132, 3284, 2526, 753, 3506]
User 41: [3772, 3284, 1125, 806, 3279, 2289, 3344, 782, 1538, 3211]
User 42: [2289, 2604, 1504, 1749, 242, 3101, 1056, 697, 1537, 763]
User 43: [2841, 1518, 1961, 1298, 2954, 574, 782, 2888, 3162, 1689]
User 44: [806, 2841, 1689, 572, 969, 1488, 1518, 396, 574, 883]
User 45: [860, 1961, 969, 3243, 721, 3587, 3588, 1298, 2864, 3542]
User 46: [878, 1488, 574, 3226, 697, 1689, 125, 2123, 2418, 804]
User 47: [806, 1689, 2841, 3772, 1298, 572, 1488, 2888, 782, 3162]
User 48: [1961, 3101, 1710, 3829, 1488, 878, 242, 2147, 572, 3140]
User 49: [2191, 574, 3710, 2990, 3790, 190, 50, 760, 393, 499]
User 50: [2990, 1411, 3103, 804, 2823, 1477, 1504, 1400, 674, 3246]
User 51: [804, 1142, 1518, 3513, 396, 1488, 1051, 3731, 2319, 1525]
User 52: [806, 572, 396, 3772, 2841, 1689, 1488, 969, 1518, 3279]
User 53: [2888, 574, 1057, 1749, 2954, 3103, 814, 2996, 981, 1504]
User 54: [969, 860, 1056, 572, 787, 541, 1456, 721, 660, 3211]
User 55: [1504, 572, 3344, 718, 2886, 2604, 3829, 806, 141, 1710]
User 56: [804, 1142, 969, 3513, 396, 3731, 572, 1488, 2189, 2876]
User 57: [969, 806, 2841, 307, 787, 804, 574, 1651, 572, 1518]
User 58: [574, 1125, 3279, 182, 782, 2289, 1744, 2990, 3221, 2894]
User 59: [572, 1056, 806, 3772, 2604, 541, 2173, 3374, 3276, 307]
User 60: [753, 1961, 3152, 3731, 1435, 3579, 140, 2147, 2954, 812]
User 61: [806, 572, 2841, 1689, 3284, 969, 1518, 3772, 1488, 3162]
User 62: [804, 2532, 969, 1125, 574, 3160, 3834, 3219, 2189, 3062]
User 63: [1961, 878, 3226, 2954, 1633, 1299, 574, 3588, 3396, 1675]
User 64: [132, 2138, 3103, 1411, 760, 3284, 2990, 2164, 767, 393]
User 65: [804, 3506, 396, 3103, 2990, 1090, 1488, 2954, 574, 1125]
User 66: [3226, 2841, 574, 2888, 1689, 704, 848, 3587, 3820, 1592]
User 67: [2841, 1518, 1689, 572, 806, 3284, 3587, 3243, 1142, 396]
User 68: [3284, 2841, 1994, 1689, 679, 2147, 3514, 2742, 2889, 2939]
User 69: [572, 3304, 3276, 3243, 1803, 806, 769, 1099, 2164, 805]
User 70: [3579, 753, 1961, 2147, 812, 3152, 140, 2954, 2615, 2996]
User 71: [833, 572, 3304, 402, 2841, 806, 805, 3423, 769, 2826]
User 72: [3772, 396, 806, 3284, 572, 2201, 3103, 1518, 1538, 1488]
User 73: [878, 1961, 242, 1057, 2239, 1488, 2996, 697, 3829, 1298]
User 74: [1518, 3731, 1298, 2155, 2841, 1051, 1488, 2706, 1689, 3243]
User 75: [2123, 2841, 679, 1518, 1689, 745, 574, 1994, 3610, 125]
User 76: [760, 2636, 2145, 132, 1295, 3284, 832, 1347, 3344, 806]
User 77: [2841, 1518, 307, 806, 396, 804, 1142, 969, 572, 1435]
User 78: [2742, 3581, 2276, 1298, 210, 3772, 390, 3417, 89, 3222]
User 79: [3103, 2826, 3731, 1497, 2930, 2208, 1411, 1142, 2699, 3115]
User 80: [3243, 2418, 1409, 697, 721, 2087, 878, 860, 135, 3462]
User 81: [3772, 1124, 3581, 1538, 2201, 3279, 1518, 307, 969, 572]
User 82: [132, 1411, 3103, 2990, 2138, 767, 1832, 760, 3790, 1399]
User 83: [3731, 1435, 1299, 2319, 3396, 2706, 3588, 3147, 3152, 2954]
User 84: [2954, 2706, 574, 2990, 2888, 3103, 50, 1650, 1411, 499]
User 85: [574, 2990, 2888, 1736, 1822, 3167, 783, 3710, 2161, 50]
User 86: [2238, 574, 2274, 1409, 3162, 225, 1435, 2841, 58, 190]
User 87: [2706, 2954, 2996, 2888, 574, 3506, 804, 1298, 1961, 1051]
