User 5411: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 10]
User 5439: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 367: [3882, 0, 2, 3, 4, 6, 7, 8, 9, 10]
User 424: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 4941: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 4667: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2906: [3882, 0, 5, 6, 7, 10, 12, 3838, 3839, 3840]
User 2375: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 11]
User 3823: [3882, 1, 3, 4, 5, 6, 7, 8, 10, 11]
User 5604: [3882, 0, 2, 3836, 3839, 3842, 3843, 3844, 3845, 3846]
User 4413: [3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834, 3835]
User 5708: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 3843]
User 5811: [3881, 0, 3, 5, 7, 8, 11, 12, 3839, 3840]
User 284: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5490: [3882, 0, 1, 2, 3, 3843, 3844, 3845, 3846, 3847]
User 823: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 348: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 10]
User 816: [3882, 1, 2, 3, 4, 6, 7, 8, 10, 11]
User 3227: [3882, 0, 2, 3, 4, 3843, 3844, 3845, 3846, 3847]
User 4625: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 11]
User 5804: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4731: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 10]
User 1799: [3882, 1, 2, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 3162: [3882, 3840, 3842, 3843, 3844, 3845, 3848, 3849, 3850, 3831]
User 1421: [3882, 2, 3, 5, 6, 7, 8, 10, 13, 14]
User 5171: [3882, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3833]
User 2891: [3882, 0, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850]
User 5165: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 57: [3882, 0, 1, 2, 3, 4, 3839, 3840, 3841, 3842]
User 410: [3882, 1, 2, 3, 4, 5, 6, 7, 3838, 3839]
User 3271: [3882, 2, 3, 4, 7, 8, 11, 13, 14, 15]
User 2420: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1974: [3882, 1, 2, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 1965: [3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834, 3835]
User 5784: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 3414: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 1787: [3882, 0, 1, 2, 3, 4, 5, 6, 3843, 3844]
User 4051: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4886: [3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834, 3835]
User 3877: [3882, 0, 1, 2, 3, 4, 5, 3843, 3844, 3845]
User 2816: [3882, 1, 2, 3842, 3843, 3844, 3845, 3846, 3847, 3848]
User 5808: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 287: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 926: [3882, 0, 1, 3, 4, 5, 7, 8, 9, 10]
User 4508: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1459: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4822: [3881, 1, 2, 4, 5, 6, 7, 8, 9, 11]
User 1258: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5370: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 10]
User 1201: [3881, 3842, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3832]
User 1004: [3882, 0, 1, 2, 3843, 3844, 3845, 3846, 3847, 3848]
User 5518: [3882, 1, 3, 4, 5, 6, 7, 8, 9, 10]
User 2856: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 10]
User 3935: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4587: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2946: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3593: [3882, 1, 2, 3, 4, 5, 3843, 3844, 3845, 3846]
User 5446: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4867: [3882, 0, 1, 2, 3, 4, 5, 6, 3843, 3844]
User 4383: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 11]
User 3188: [3882, 3, 6, 7, 8, 11, 12, 13, 14, 17]
User 4176: [3882, 1, 2, 3, 4, 6, 7, 8, 3843, 3844]
User 5754: [3882, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834]
User 3806: [3882, 0, 2, 3, 4, 5, 6, 7, 8, 10]
User 5995: [3882, 2, 3, 5, 7, 8, 10, 11, 12, 13]
User 888: [3881, 1, 2, 3, 4, 5, 3822, 3824, 3825, 3828]
User 3918: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3604: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 1957: [3881, 5, 7, 10, 11, 12, 13, 14, 16, 17]
User 708: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 868: [3882, 2, 3, 3839, 3840, 3842, 3843, 3844, 3845, 3846]
User 1120: [3882, 0, 1, 3842, 3843, 3844, 3845, 3847, 3848, 3849]
User 5457: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 11]
User 5701: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 671: [3882, 0, 1, 3842, 3843, 3844, 3845, 3846, 3847, 3848]
User 2664: [3882, 2, 3, 4, 6, 7, 8, 9, 10, 11]
User 1178: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 3821: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 4387: [3882, 2, 3, 4, 5, 7, 8, 10, 11, 12]
User 981: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 98: [3841, 3842, 3843, 3844, 3845, 3847, 3848, 3849, 3832, 3833]
User 3984: [3841, 3842, 3843, 3844, 3846, 3847, 3848, 3849, 3832, 3833]
User 1390: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1539: [3881, 0, 1, 3835, 3836, 3838, 3839, 3840, 3841, 3842]
User 6001: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3994: [3882, 0, 1, 3842, 3843, 3844, 3845, 3846, 3847, 3848]
User 1284: [3881, 0, 1, 2, 3, 4, 5, 7, 3834, 3835]
User 1338: [3882, 0, 1, 2, 3, 4, 5, 7, 8, 10]
User 2343: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 831: [3882, 1, 2, 3, 4, 3842, 3843, 3844, 3845, 3846]
User 3043: [3882, 0, 1, 2, 3, 5, 6, 7, 8, 9]
User 370: [3882, 0, 1, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 4414: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3388: [3882, 1, 2, 3, 4, 6, 7, 8, 10, 11]
User 5794: [3882, 2, 6, 7, 8, 11, 3843, 3844, 3845, 3846]
User 2444: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5212: [3882, 0, 1, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 2985: [3835, 3836, 3838, 3839, 3842, 3843, 3844, 3846, 3825, 3826]
User 4386: [3882, 2, 3, 4, 5, 7, 8, 9, 11, 12]
User 3179: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 5432: [3882, 0, 2, 3842, 3843, 3844, 3845, 3846, 3847, 3848]
User 3591: [3882, 1, 2, 3, 3840, 3842, 3843, 3844, 3845, 3847]
User 3143: [3882, 0, 1, 2, 3, 4, 5, 6, 3843, 3844]
User 5226: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5101: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 1316: [3836, 3838, 3839, 3840, 3842, 3843, 3844, 3845, 3824, 3825]
User 737: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2918: [3882, 3842, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3833]
User 3358: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5642: [3882, 0, 2, 3, 4, 7, 8, 11, 12, 13]
User 3975: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 4591: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 578: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 3649: [3882, 0, 1, 2, 3, 7, 11, 12, 13, 14]
User 214: [3882, 1, 2, 3, 4, 5, 3843, 3844, 3845, 3846]
User 4138: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1612: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 5038: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 535: [3881, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4699: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3390: [3882, 1, 2, 7, 8, 12, 13, 14, 3840, 3842]
User 677: [3882, 0, 2, 3, 4, 5, 6, 7, 8, 10]
User 5890: [3882, 0, 1, 2, 3, 4, 5, 3843, 3844, 3845]
User 3502: [3839, 3841, 3842, 3843, 3844, 3845, 3846, 3847, 3830, 3831]
User 1014: [3881, 2, 3, 4, 5, 6, 7, 8, 9, 10]
User 5559: [3882, 1, 2, 3, 4, 5, 6, 3843, 3844, 3845]
User 4006: [3882, 1, 2, 3, 4, 5, 7, 8, 10, 11]
User 4415: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 9: [3882, 1, 2, 3, 3842, 3843, 3844, 3845, 3846, 3847]
User 5462: [3882, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834]
User 5762: [3882, 2, 3, 4, 6, 7, 8, 9, 11, 12]
User 4372: [3882, 0, 1, 2, 3, 4, 5, 7, 8, 9]
User 4407: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4814: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5500: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 5282: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5405: [3882, 1, 2, 3, 4, 5, 7, 8, 9, 11]
User 17: [3882, 2, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850]
User 3840: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 10]
User 1050: [3882, 3, 5, 7, 8, 9, 11, 12, 13, 14]
User 5088: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 3843]
User 1253: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 798: [3882, 0, 1, 2, 3, 4, 5, 6, 3843, 3844]
User 3345: [3882, 1, 2, 3, 3843, 3844, 3845, 3846, 3847, 3848]
User 3956: [3882, 0, 1, 3, 4, 6, 7, 8, 9, 10]
User 1171: [3882, 0, 1, 2, 3, 4, 5, 7, 8, 9]
User 4063: [3882, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834]
User 2995: [3882, 0, 2, 3, 6, 7, 9, 3843, 3844, 3845]
User 1061: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 3843]
User 666: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 423: [3882, 2, 3, 4, 6, 7, 8, 11, 12, 13]
User 1925: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1950: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 853: [3882, 1, 2, 3, 6, 7, 8, 9, 11, 12]
User 4168: [3882, 0, 3, 6, 7, 8, 12, 16, 17, 18]
User 1918: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4505: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 10]
User 411: [3882, 1, 3, 4, 5, 7, 8, 9, 10, 11]
User 2770: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 11]
User 169: [3882, 0, 1, 2, 3843, 3844, 3845, 3846, 3847, 3848]
User 1183: [3882, 0, 1, 5, 6, 8, 11, 12, 13, 14]
User 4065: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 2347: [3882, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834]
User 1389: [3882, 1, 2, 3, 4, 7, 8, 11, 12, 13]
User 215: [3882, 0, 1, 4, 5, 7, 8, 11, 12, 13]
User 2379: [3881, 1, 2, 3, 4, 5, 7, 8, 9, 11]
User 5645: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 751: [3882, 1, 2, 4, 6, 7, 8, 9, 10, 11]
User 1495: [3882, 0, 2, 3, 4, 5, 6, 7, 8, 10]
User 764: [3882, 2, 3, 5, 6, 7, 8, 9, 10, 11]
User 3419: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4047: [3882, 2, 3, 5, 7, 8, 11, 12, 13, 15]
User 5379: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2822: [3882, 3842, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3833]
