User 5411: [537, 1180, 3509, 2918, 740, 2286, 900, 0, 1182, 3045]
User 5439: [1539, 2928, 2789, 1595, 20, 33, 3106, 1245, 1854, 0]
User 367: [293, 1656, 315, 1195, 604, 3509, 1959, 108, 523, 3078]
User 424: [847, 589, 315, 1203, 1245, 1120, 1959, 352, 3352, 2735]
User 4941: [1250, 3402, 1081, 912, 2502, 257, 1178, 0, 1353, 315]
User 4667: [257, 2502, 1178, 1192, 585, 1220, 1196, 1250, 537, 1182]
User 2906: [1180, 2693, 1366, 1201, 604, 770, 2647, 1196, 589, 3078]
User 2375: [1176, 847, 523, 1575, 2789, 257, 1203, 1656, 315, 49]
User 3823: [523, 0, 3045, 2693, 352, 1568, 1959, 1190, 1274, 907]
User 5604: [1179, 907, 1058, 108, 2789, 257, 2502, 1015, 2092, 2890]
User 4413: [2637, 2614, 352, 2693, 2286, 2327, 2647, 220, 1245, 3045]
User 5708: [257, 1178, 1180, 1192, 1271, 1179, 1220, 1182, 537, 1353]
User 5811: [589, 315, 353, 523, 1899, 2693, 1081, 2222, 16, 2728]
User 284: [1176, 49, 2693, 109, 604, 1227, 1575, 1190, 1210, 1883]
User 5490: [2502, 2789, 352, 293, 1250, 585, 108, 1220, 589, 49]
User 823: [523, 900, 604, 1180, 847, 257, 1203, 740, 1178, 1959]
User 348: [1959, 3509, 2693, 108, 585, 2502, 1192, 315, 847, 1178]
User 816: [1179, 49, 1575, 0, 476, 585, 2502, 3045, 1931, 604]
User 3227: [108, 1180, 1959, 1568, 453, 585, 2693, 1023, 1271, 1192]
User 4625: [1575, 453, 1287, 1180, 1250, 1568, 49, 2199, 20, 1959]
User 5804: [257, 1959, 1179, 1180, 1178, 907, 1192, 108, 900, 523]
User 4731: [0, 1196, 108, 1575, 1058, 847, 1182, 1258, 3045, 1183]
User 1799: [2789, 1178, 1180, 476, 108, 1192, 847, 257, 585, 2502]
User 3162: [1179, 1120, 315, 2222, 2890, 907, 900, 1656, 896, 589]
User 1421: [257, 1366, 1959, 0, 1081, 1180, 523, 1353, 1250, 2693]
User 5171: [2789, 604, 2327, 1245, 1575, 900, 0, 33, 896, 1179]
User 2891: [1178, 257, 1192, 1959, 523, 1180, 1179, 1081, 957, 1250]
User 5165: [900, 2789, 740, 912, 896, 604, 1232, 892, 907, 901]
User 57: [523, 2789, 1353, 2327, 740, 900, 293, 1120, 1335, 315]
User 410: [2327, 1120, 1287, 1215, 1284, 2789, 1179, 2928, 353, 1258]
User 3271: [586, 108, 352, 907, 1931, 1284, 1180, 589, 2337, 1959]
User 2420: [847, 1203, 1220, 257, 585, 1178, 2502, 1196, 1182, 1192]
User 1974: [2789, 0, 3045, 2327, 2928, 1245, 1854, 33, 352, 2530]
User 1965: [847, 1203, 293, 1575, 604, 257, 1180, 1195, 1366, 49]
User 5784: [2693, 1959, 589, 523, 453, 315, 352, 1192, 585, 1575]
User 3414: [0, 1250, 2789, 3045, 1575, 1180, 1081, 2849, 352, 523]
User 1787: [2789, 1575, 2327, 604, 49, 2928, 293, 1176, 257, 589]
User 4051: [108, 3509, 2789, 2502, 476, 2693, 585, 3724, 3684, 3412]
User 4886: [1179, 1239, 2849, 1899, 1373, 108, 2735, 453, 0, 2722]
User 3877: [2789, 589, 847, 604, 1195, 1192, 1931, 257, 1178, 1203]
User 2816: [2502, 585, 0, 1179, 589, 108, 1220, 604, 2693, 3045]
User 5808: [523, 2849, 1081, 740, 1120, 1959, 1132, 1250, 257, 912]
User 287: [585, 1192, 1178, 257, 2502, 1180, 1220, 476, 1271, 1023]
User 926: [352, 2327, 1245, 1854, 353, 2789, 593, 535, 38, 1595]
User 4508: [315, 847, 589, 1959, 523, 108, 293, 1203, 1366, 257]
User 1459: [476, 585, 108, 1539, 2502, 1192, 3412, 3509, 2722, 3684]
User 4822: [2789, 2890, 2693, 49, 315, 1176, 1190, 1120, 2530, 2928]
User 1258: [2789, 257, 1178, 108, 585, 1192, 476, 1196, 2722, 1239]
User 5370: [293, 1180, 2502, 1250, 1959, 1656, 2693, 315, 1575, 49]
User 1201: [257, 1250, 1959, 1178, 1180, 2502, 2327, 1287, 1284, 1353]
