User 5411: [1178, 2789, 2502, 1192, 585, 589, 1179, 315, 847, 293]
User 5439: [2789, 257, 1178, 2502, 604, 589, 1959, 585, 2693, 1180]
User 367: [2789, 1178, 257, 585, 1192, 49, 847, 1179, 453, 1245]
User 424: [1178, 2789, 1180, 604, 1192, 1179, 2693, 1575, 2327, 1220]
User 4941: [257, 2789, 589, 1179, 847, 523, 2693, 108, 1575, 2327]
User 4667: [1178, 585, 1180, 2789, 1959, 1179, 1182, 589, 108, 1081]
User 2906: [257, 2789, 1180, 585, 1179, 523, 1081, 1245, 0, 1568]
User 2375: [604, 1959, 1180, 1192, 2327, 2928, 1245, 476, 1220, 453]
User 3823: [1180, 1192, 476, 1220, 1081, 1196, 1182, 2928, 1203, 1271]
User 5604: [1959, 847, 2327, 1539, 2928, 1220, 0, 453, 1196, 1182]
User 4413: [2789, 2693, 257, 2502, 1959, 589, 1192, 1180, 2327, 585]
User 5708: [585, 1959, 2789, 1220, 1250, 108, 589, 847, 1196, 1539]
User 5811: [2789, 1180, 2327, 1220, 0, 453, 1196, 1239, 1120, 1195]
User 284: [2789, 604, 589, 257, 1178, 847, 315, 523, 1959, 1180]
User 5490: [257, 315, 1192, 2693, 523, 2327, 1081, 453, 2928, 0]
User 823: [1178, 315, 1179, 2693, 1250, 585, 2327, 108, 1245, 1220]
User 348: [257, 2789, 2502, 315, 604, 847, 1179, 476, 293, 1575]
User 816: [1178, 2789, 2502, 1179, 315, 1539, 523, 1220, 847, 1081]
User 3227: [1178, 2502, 1250, 847, 604, 315, 523, 1196, 1081, 1182]
User 4625: [2789, 1178, 589, 1192, 585, 2693, 108, 1250, 847, 2928]
User 5804: [2789, 1192, 589, 2502, 604, 847, 315, 1250, 1575, 1081]
User 4731: [2789, 1180, 585, 604, 1179, 1250, 315, 1220, 1575, 2327]
User 1799: [1180, 589, 585, 2693, 315, 523, 1250, 2327, 1081, 1196]
User 3162: [2789, 1180, 2502, 1250, 293, 1245, 0, 537, 1203, 1239]
User 1421: [2789, 2502, 847, 352, 49, 1182, 907, 537, 1120, 1271]
User 5171: [257, 1959, 523, 2693, 293, 2928, 2647, 1196, 1203, 1120]
User 2891: [2789, 1180, 2502, 1250, 589, 1179, 847, 2693, 315, 604]
User 5165: [257, 847, 1959, 523, 315, 1192, 2502, 2693, 293, 1179]
User 57: [1178, 2502, 589, 1220, 1081, 1196, 1245, 49, 0, 537]
User 410: [257, 523, 585, 1220, 1539, 49, 907, 1196, 453, 1239]
User 3271: [257, 2789, 315, 476, 1220, 1575, 2327, 1182, 49, 1023]
User 2420: [1180, 2789, 1959, 589, 1179, 108, 2693, 315, 1081, 293]
User 1974: [257, 1178, 1959, 589, 1180, 2693, 604, 2502, 315, 1192]
User 1965: [2789, 1178, 589, 1180, 1959, 315, 523, 2502, 1192, 585]
User 5784: [2789, 1178, 257, 585, 523, 1179, 847, 2327, 49, 2928]
User 3414: [257, 1180, 2502, 1959, 1179, 315, 2693, 604, 847, 476]
User 1787: [257, 1178, 604, 589, 1959, 315, 523, 847, 1180, 2693]
User 4051: [2789, 257, 1178, 2502, 1959, 2693, 585, 589, 1192, 1180]
User 4886: [1178, 257, 2502, 315, 2693, 1250, 523, 293, 1575, 847]
User 3877: [585, 2693, 1081, 1539, 352, 2928, 0, 1203, 1271, 1239]
